Column1,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date,Match No
232,93,157,103,10,0,90.29,1,bowled,2,v Pakistan,Hobart,21-01-2000,ODI # 1543
233,41,69,46,5,0,89.13,1,caught,1,v Pakistan,Adelaide,25-01-2000,ODI # 1547
234,18,45,28,2,0,64.28,1,caught,2,v Australia,Adelaide,26-01-2000,ODI # 1548
235,17,19,14,4,0,121.42,1,caught,2,v Pakistan,Perth,28-01-2000,ODI # 1550
236,3,23,21,0,0,14.28,2,bowled,1,v Australia,Perth,30-01-2000,ODI # 1552
237,26,66,25,4,0,104.00,2,caught,2,v South Africa,Kochi,09-03-2000,ODI # 1572
238,21,39,31,3,0,67.74,2,caught,2,v South Africa,Jamshedpur,12-03-2000,ODI # 1573
239,12,48,28,1,0,42.85,2,lbw,1,v South Africa,Faridabad,15-03-2000,ODI # 1574
240,122,195,138,12,0,88.40,2,caught,2,v South Africa,Vadodara,17-03-2000,ODI # 1575
241,93,119,89,7,4,104.49,2,caught,2,v South Africa,Nagpur,19-03-2000,ODI # 1576
242,5,10,8,0,0,62.50,2,bowled,1,v South Africa,Sharjah,22-03-2000,ODI # 1577
243,11,54,28,1,0,39.28,2,lbw,2,v Pakistan,Sharjah,23-03-2000,ODI # 1578
244,10,23,18,1,0,55.55,2,bowled,2,v Pakistan,Sharjah,26-03-2000,ODI # 1580
245,39,117,68,3,0,57.35,1,run out,1,v South Africa,Sharjah,27-03-2000,ODI # 1581
246,36,55,25,4,2,144.00,2,caught,2,v Bangladesh,Dhaka,30-05-2000,ODI # 1597
247,93,174,95,10,0,97.89,2,caught,2,v Sri Lanka,Dhaka,01-06-2000,ODI # 1598
248,25,74,30,4,0,83.33,2,lbw,2,v Pakistan,Dhaka,03-06-2000,ODI # 1600
249,25,55,35,4,0,71.42,2,lbw,2,v Kenya,Nairobi (Gym),03-10-2000,ODI # 1630
250,38,58,37,3,3,102.70,2,caught,1,v Australia,Nairobi (Gym),07-10-2000,ODI # 1633
251,39,61,50,4,0,78.00,2,caught,1,v South Africa,Nairobi (Gym),13-10-2000,ODI # 1638
252,69,103,83,10,1,83.13,2,run out,1,v New Zealand,Nairobi (Gym),15-10-2000,ODI # 1639
253,101,-,140,3,1,72.14,2,run out,1,v Sri Lanka,Sharjah,20-10-2000,ODI # 1640
254,8,-,15,1,0,53.33,2,caught,1,v Zimbabwe,Sharjah,22-10-2000,ODI # 1644
255,4,-,10,0,0,40.00,1,caught,2,v Zimbabwe,Sharjah,26-10-2000,ODI # 1648
256,61,-,54,7,0,112.96,2,caught,2,v Sri Lanka,Sharjah,27-10-2000,ODI # 1650
257,5,-,11,0,0,45.45,2,caught,2,v Sri Lanka,Sharjah,29-10-2000,ODI # 1652
258,44,90,49,7,0,89.79,2,caught,2,v Zimbabwe,Cuttack,02-12-2000,ODI # 1656
259,8,27,20,0,0,40.00,1,caught,1,v Zimbabwe,Ahmedabad,05-12-2000,ODI # 1657
260,146,200,153,15,2,95.42,2,caught,1,v Zimbabwe,Jodhpur,08-12-2000,ODI # 1658
261,62,113,86,9,0,72.09,2,lbw,2,v Zimbabwe,Kanpur,11-12-2000,ODI # 1659
262,27,38,38,5,0,71.05,2,bowled,1,v Zimbabwe,Rajkot,14-12-2000,ODI # 1660
263,35,47,26,6,1,134.61,2,run out,1,v Australia,Bengaluru,25-03-2001,ODI # 1696
264,32,35,29,6,1,110.34,2,caught,1,v Australia,Pune,28-03-2001,ODI # 1698
265,139,197,125,19,0,111.20,2,caught,1,v Australia,Indore,31-03-2001,ODI # 1699
266,62,68,38,11,0,163.15,2,caught,2,v Australia,Visakhapatnam,03-04-2001,ODI # 1700
267,12,17,15,2,0,80.00,2,caught,1,v Australia,Margao,06-04-2001,ODI # 1701
268,70*,129,70,13,0,100.00,2,not out,2,v Zimbabwe,Harare,24-06-2001,ODI # 1729
269,9,42,27,0,0,33.33,2,caught,2,v Zimbabwe,Bulawayo,27-06-2001,ODI # 1730
270,81*,191,110,8,0,73.63,2,not out,2,v West Indies,Bulawayo,30-06-2001,ODI # 1731
271,122*,210,131,12,1,93.12,2,not out,2,v West Indies,Harare,04-07-2001,ODI # 1733
272,0,10,4,0,0,0.00,2,caught,2,v West Indies,Harare,07-07-2001,ODI # 1734
273,101,209,129,9,0,78.29,2,caught,1,v South Africa,Johannesburg,05-10-2001,ODI # 1752
274,38,82,57,5,0,66.66,2,caught,1,v South Africa,Centurion,10-10-2001,ODI # 1757
275,DNB,-,-,-,-,-,-,-,2,v Kenya,Bloemfontein,12-10-2001,ODI # 1758
276,3,24,20,0,0,15.00,2,bowled,2,v Kenya,Gqeberha,17-10-2001,ODI # 1761
277,37,68,35,5,0,105.71,2,bowled,2,v South Africa,East London,19-10-2001,ODI # 1762
278,146,186,132,17,0,110.60,2,caught,1,v Kenya,Paarl,24-10-2001,ODI # 1764
279,17,49,42,3,0,40.47,2,bowled,1,v South Africa,Durban,26-10-2001,ODI # 1766
280,36,71,43,6,0,83.72,2,bowled,1,v England,Eden Gardens,19-01-2002,ODI # 1788
281,45,101,60,6,0,75.00,2,run out,2,v England,Cuttack,22-01-2002,ODI # 1792
282,68,110,79,10,0,86.07,1,lbw,2,v England,Chennai,25-01-2002,ODI # 1795
283,87*,120,67,13,1,129.85,1,not out,2,v England,Kanpur,28-01-2002,ODI # 1798
284,18,20,16,3,0,112.50,2,caught,2,v England,Delhi,31-01-2002,ODI # 1800
285,12,22,18,1,1,66.66,2,caught,2,v England,Wankhede,03-02-2002,ODI # 1803
286,34*,64,45,2,0,75.55,4,not out,2,v West Indies,Bridgetown,29-05-2002,ODI # 1836
287,65,110,70,3,1,92.85,4,bowled,1,v West Indies,Port of Spain,02-06-2002,ODI # 1838
288,1,12,9,0,0,11.11,4,lbw,2,v England,Lord's,29-06-2002,ODI # 1848
289,49,123,70,3,1,70.00,4,caught,2,v Sri Lanka,The Oval,30-06-2002,ODI # 1849
290,105*,167,108,8,1,97.22,4,not out,1,v England,Chester-le-Street,04-07-2002,ODI # 1851
291,19,35,25,3,0,76.00,4,caught,2,v Sri Lanka,Birmingham,06-07-2002,ODI # 1852
292,36,60,29,5,0,124.13,4,caught,2,v England,The Oval,09-07-2002,ODI # 1854
293,113,141,102,12,1,110.78,4,caught,1,v Sri Lanka,Bristol,11-07-2002,ODI # 1855
294,14,31,19,1,0,73.68,4,bowled,2,v England,Lord's,13-07-2002,ODI # 1856
295,7,39,16,0,0,43.75,4,caught,1,v Zimbabwe,Colombo (RPS),14-09-2002,ODI # 1876
296,9*,34,20,0,0,45.00,4,not out,2,v England,Colombo (RPS),22-09-2002,ODI # 1884
297,16,39,29,1,0,55.17,4,run out,1,v South Africa,Colombo (RPS),25-09-2002,ODI # 1886
298,DNB,-,-,-,-,-,-,-,2,v Sri Lanka,Colombo (RPS),29-09-2002,ODI # 1888
299,7*,33,22,1,0,31.81,3,not out,2,v Sri Lanka,Colombo (RPS),30-09-2002,ODI # 1889
300,0,9,10,0,0,0.00,4,lbw,2,v New Zealand,Wellington,08-01-2003,ODI # 1930
301,1,21,13,0,0,7.69,4,caught,2,v New Zealand,Auckland,11-01-2003,ODI # 1933
302,1,7,6,0,0,16.66,3,caught,1,v New Zealand,Hamilton,14-01-2003,ODI # 1935
303,52,91,72,7,0,72.22,2,caught,1,v Netherlands,Paarl,12-02-2003,ODI # 1948
304,36,127,59,3,0,61.01,2,lbw,1,v Australia,Centurion,15-02-2003,ODI # 1951
305,81,122,91,10,0,89.01,2,bowled,1,v Zimbabwe,Harare,19-02-2003,ODI # 1957
306,152,193,151,18,0,100.66,2,bowled,1,v Namibia,Pietermaritzburg,23-02-2003,ODI # 1964
307,50,78,52,8,1,96.15,2,caught,1,v England,Durban,26-02-2003,ODI # 1969
308,98,145,75,12,1,130.66,1,caught,2,v Pakistan,Centurion,01-03-2003,ODI # 1975
309,5,21,12,1,0,41.66,2,caught,2,v Kenya,Cape Town,07-03-2003,ODI # 1983
310,97,160,120,7,1,80.83,1,caught,1,v Sri Lanka,Johannesburg,10-03-2003,ODI # 1985
311,15,25,16,3,0,93.75,2,caught,2,v New Zealand,Centurion,14-03-2003,ODI # 1988
312,83,166,101,5,1,82.17,2,caught,1,v Kenya,Durban,20-03-2003,ODI # 1992
313,4,2,5,1,0,80.00,1,caught,2,v Australia,Johannesburg,23-03-2003,ODI # 1993
314,48*,119,66,5,0,72.72,2,not out,1,v New Zealand,Chennai,23-10-2003,ODI # 2051
315,100,158,119,9,1,84.03,2,caught,1,v Australia,Gwalior,26-10-2003,ODI # 2052
316,68,113,76,10,0,89.47,2,bowled,2,v Australia,Wankhede,01-11-2003,ODI # 2054
317,14,29,14,3,0,100.00,2,lbw,1,v New Zealand,Cuttack,06-11-2003,ODI # 2056
318,89,133,91,12,1,97.80,2,bowled,2,v Australia,Bengaluru,12-11-2003,ODI # 2061
319,102,124,91,12,1,112.08,2,caught,1,v New Zealand,Hyderabad (Deccan),15-11-2003,ODI # 2062
320,45,104,66,5,0,68.18,1,bowled,2,v Australia,Eden Gardens,18-11-2003,ODI # 2064
321,63,117,69,8,1,91.30,2,caught,2,v Australia,Melbourne,09-01-2004,ODI # 2077
322,44,107,59,6,0,74.57,2,bowled,2,v Zimbabwe,Hobart,14-01-2004,ODI # 2080
323,86,129,95,8,0,90.52,2,caught,1,v Australia,Brisbane,18-01-2004,ODI # 2084
324,5,17,6,1,0,83.33,2,caught,1,v Australia,Perth,01-02-2004,ODI # 2093
325,3,16,8,0,0,37.50,2,caught,2,v Zimbabwe,Perth,03-02-2004,ODI # 2095
326,8,28,22,1,0,36.36,2,bowled,1,v Australia,Melbourne,06-02-2004,ODI # 2097
327,27,38,40,4,0,67.50,2,caught,2,v Australia,Sydney,08-02-2004,ODI # 2098
328,28,49,35,4,1,80.00,2,caught,1,v Pakistan,Karachi,13-03-2004,ODI # 2112
329,141,173,135,17,1,104.44,2,caught,2,v Pakistan,Rawalpindi,16-03-2004,ODI # 2114
330,0,7,5,0,0,0.00,2,caught,1,v Pakistan,Peshawar,19-03-2004,ODI # 2115
331,7,22,13,1,0,53.84,2,caught,2,v Pakistan,Lahore,21-03-2004,ODI # 2116
332,37,60,48,7,0,77.08,2,caught,1,v Pakistan,Lahore,24-03-2004,ODI # 2117
333,18,39,25,2,0,72.00,2,caught,1,v U.A.E.,Dambulla,16-07-2004,ODI # 2144
334,11,17,13,2,0,84.61,1,caught,2,v Sri Lanka,Dambulla,18-07-2004,ODI # 2148
335,82*,157,126,10,1,65.07,2,not out,2,v Bangladesh,Colombo (SSC),21-07-2004,ODI # 2149
336,78,192,103,6,0,75.72,2,caught,2,v Pakistan,Colombo (RPS),25-07-2004,ODI # 2152
337,18,30,21,3,0,85.71,1,lbw,1,v Sri Lanka,Colombo (RPS),27-07-2004,ODI # 2153
338,74,170,100,7,1,74.00,2,bowled,2,v Sri Lanka,Colombo (RPS),01-08-2004,ODI # 2155
339,16,30,17,2,0,94.11,2,run out,1,v Pakistan,Eden Gardens,13-11-2004,ODI # 2192
340,19,46,32,3,0,59.37,2,caught,1,v Bangladesh,Chattogram,23-12-2004,ODI # 2199
341,47,60,42,9,0,111.90,2,caught,1,v Bangladesh,Dhaka,27-12-2004,ODI # 2202
342,4,8,4,1,0,100.00,2,caught,1,v Pakistan,Kochi,02-04-2005,ODI # 2235
343,2,17,8,0,0,25.00,2,run out,1,v Pakistan,Visakhapatnam,05-04-2005,ODI # 2236
344,6,15,11,1,0,54.54,2,caught,2,v Pakistan,Jamshedpur,09-04-2005,ODI # 2237
345,123,192,130,12,2,94.61,2,bowled,1,v Pakistan,Ahmedabad,12-04-2005,ODI # 2238
346,1,13,10,0,0,10.00,2,caught,1,v Pakistan,Kanpur,15-04-2005,ODI # 2239
347,9,38,15,0,0,60.00,2,bowled,2,v Pakistan,Delhi,17-04-2005,ODI # 2240
348,93,149,96,9,2,96.87,2,caught,1,v Sri Lanka,Nagpur,25-10-2005,ODI # 2286
349,67*,87,69,11,0,97.10,2,not out,2,v Sri Lanka,Mohali,28-10-2005,ODI # 2287
350,2,2,3,0,0,66.66,2,caught,2,v Sri Lanka,Jaipur,31-10-2005,ODI # 2290
351,11,28,19,1,1,57.89,2,bowled,2,v Sri Lanka,Pune,03-11-2005,ODI # 2291
352,19,46,30,3,0,63.33,2,caught,2,v Sri Lanka,Rajkot,09-11-2005,ODI # 2295
353,39,76,48,8,0,81.25,2,caught,2,v Sri Lanka,Vadodara,12-11-2005,ODI # 2296
354,2,20,9,0,0,22.22,2,caught,1,v South Africa,Hyderabad,16-11-2005,ODI # 2297
355,2,31,22,0,0,9.09,2,caught,2,v South Africa,Bengaluru,19-11-2005,ODI # 2298
356,2,18,15,0,0,13.33,3,caught,1,v South Africa,Eden Gardens,25-11-2005,ODI # 2299
357,30,77,44,5,0,68.18,2,caught,2,v South Africa,Wankhede,28-11-2005,ODI # 2300
358,100,188,113,10,1,88.49,2,lbw,1,v Pakistan,Peshawar,06-02-2006,ODI # 2324
359,42,71,43,8,0,97.67,2,caught,2,v Pakistan,Rawalpindi,11-02-2006,ODI # 2327
360,95,157,104,16,1,91.34,2,caught,2,v Pakistan,Lahore,13-02-2006,ODI # 2329
361,0,7,3,0,0,0.00,2,caught,2,v Pakistan,Multan,16-02-2006,ODI # 2331
362,2*,16,3,0,0,66.66,2,not out,1,v Sri Lanka,Colombo (SSC),18-08-2006,ODI # 2405
363,141*,-,148,13,5,95.27,2,not out,1,v West Indies,Kuala Lumpur,14-09-2006,ODI # 2414
364,12,30,17,2,0,70.58,2,caught,2,v Australia,Kuala Lumpur,16-09-2006,ODI # 2416
365,65,154,102,7,0,63.72,2,run out,1,v West Indies,Kuala Lumpur,20-09-2006,ODI # 2419
366,4,11,10,1,0,40.00,2,caught,2,v Australia,Kuala Lumpur,22-09-2006,ODI # 2421
367,35,87,41,5,0,85.36,2,lbw,2,v England,Jaipur,15-10-2006,ODI # 2429
368,29,81,45,4,0,64.44,2,bowled,1,v West Indies,Ahmedabad,26-10-2006,ODI # 2437
369,10,46,26,2,0,38.46,2,caught,1,v Australia,Mohali,29-10-2006,ODI # 2440
370,35,79,51,5,0,68.62,2,bowled,2,v South Africa,Durban,22-11-2006,ODI # 2447
371,2,20,9,0,0,22.22,2,caught,2,v South Africa,Cape Town,26-11-2006,ODI # 2449
372,1,4,3,0,0,33.33,3,caught,2,v South Africa,Gqeberha,29-11-2006,ODI # 2452
373,55,134,97,8,0,56.70,2,caught,1,v South Africa,Centurion,03-12-2006,ODI # 2458
374,31,54,38,3,0,81.57,3,lbw,1,v West Indies,Nagpur,21-01-2007,ODI # 2480
375,0,6,6,0,0,0.00,4,caught,1,v West Indies,Cuttack,24-01-2007,ODI # 2485
376,60,112,66,2,0,90.90,4,caught,1,v West Indies,Chennai,27-01-2007,ODI # 2487
377,100*,110,76,10,1,131.57,4,not out,1,v West Indies,Vadodara,31-01-2007,ODI # 2493
378,TDNB,-,-,-,-,-,-,-,-,v Sri Lanka,Eden Gardens,08-02-2007,ODI # 2514
379,54,94,61,9,0,88.52,4,stumped,2,v Sri Lanka,Rajkot,11-02-2007,ODI # 2520
380,1,13,8,0,0,12.50,3,bowled,2,v Sri Lanka,Margao,14-02-2007,ODI # 2522
381,7,40,26,1,0,26.92,4,caught,1,v Bangladesh,Port of Spain,17-03-2007,ODI # 2538
382,57*,46,29,2,4,196.55,6,not out,1,v Bermuda,Port of Spain,19-03-2007,ODI # 2542
383,0,5,3,0,0,0.00,4,bowled,2,v Sri Lanka,Port of Spain,23-03-2007,ODI # 2550
384,4,4,3,1,0,133.33,2,bowled,2,v Ireland,Belfast,23-06-2007,ODI # 2590
385,99,199,143,12,0,69.23,2,run out,1,v South Africa,Belfast,26-06-2007,ODI # 2592
386,93,140,106,13,2,87.73,2,bowled,2,v South Africa,Belfast,29-06-2007,ODI # 2593
387,8,10,8,2,0,100.00,2,caught,2,v South Africa,Belfast,01-07-2007,ODI # 2595
388,17,52,33,1,0,51.51,2,caught,2,v England,Southampton,21-08-2007,ODI # 2611
389,99,158,112,15,1,88.39,2,caught,1,v England,Bristol,24-08-2007,ODI # 2613
390,8,42,19,1,0,42.10,2,caught,2,v England,Birmingham,27-08-2007,ODI # 2616
391,55,128,86,9,0,63.95,2,caught,1,v England,Manchester,30-08-2007,ODI # 2617
392,71,87,59,13,0,120.33,2,caught,1,v England,Leeds,02-09-2007,ODI # 2618
393,94,120,81,16,1,116.04,2,caught,2,v England,The Oval,05-09-2007,ODI # 2619
394,30,80,46,4,0,65.21,2,caught,1,v England,Lord's,08-09-2007,ODI # 2620
395,0,9,6,0,0,0.00,2,lbw,2,v Australia,Bengaluru,29-09-2007,ODI # 2621
396,16,43,25,1,1,64.00,2,caught,2,v Australia,Kochi,02-10-2007,ODI # 2623
397,43,119,71,6,0,60.56,2,bowled,2,v Australia,Hyderabad,05-10-2007,ODI # 2625
398,79,184,119,7,0,66.38,2,run out,1,v Australia,Chandigarh,08-10-2007,ODI # 2627
399,47,128,73,9,0,64.38,2,caught,1,v Australia,Vadodara,11-10-2007,ODI # 2629
400,72,105,72,9,1,100.00,2,stumped,2,v Australia,Nagpur,14-10-2007,ODI # 2631
401,21,52,36,4,0,58.33,2,bowled,2,v Australia,Wankhede,17-10-2007,ODI # 2632
402,4,14,7,1,0,57.14,2,lbw,2,v Pakistan,Guwahati,05-11-2007,ODI # 2643
403,99,130,91,14,1,108.79,2,caught,1,v Pakistan,Mohali,08-11-2007,ODI # 2644
404,29,54,27,5,0,107.40,2,caught,1,v Pakistan,Kanpur,11-11-2007,ODI # 2645
405,97,149,102,16,0,95.09,2,bowled,2,v Pakistan,Gwalior,15-11-2007,ODI # 2646
406,30,54,27,6,0,111.11,2,caught,2,v Pakistan,Jaipur,18-11-2007,ODI # 2647
407,10,30,17,1,0,58.82,2,hit wicket,1,v Australia,Brisbane,03-02-2008,ODI # 2670
408,35,70,52,2,0,67.30,2,bowled,1,v Sri Lanka,Brisbane,05-02-2008,ODI # 2672
409,44,123,54,3,0,81.48,2,caught,2,v Australia,Melbourne,10-02-2008,ODI # 2675
410,32,41,30,4,0,106.66,2,caught,1,v Sri Lanka,Canberra,12-02-2008,ODI # 2676
411,5,23,15,1,0,33.33,2,lbw,2,v Australia,Adelaide,17-02-2008,ODI # 2680
412,0,6,2,0,0,0.00,2,bowled,2,v Sri Lanka,Adelaide,19-02-2008,ODI # 2681
413,2,3,3,0,0,66.66,2,lbw,2,v Australia,Sydney,24-02-2008,ODI # 2685
414,63,92,54,10,0,116.66,2,caught,2,v Sri Lanka,Hobart,26-02-2008,ODI # 2686
415,117*,235,120,10,0,97.50,2,not out,2,v Australia,Sydney,02-03-2008,ODI # 2688
416,91,176,121,7,0,75.20,2,caught,1,v Australia,Brisbane,04-03-2008,ODI # 2689
417,11,40,21,2,0,52.38,2,bowled,1,v England,Bengaluru,23-11-2008,ODI # 2781
418,50,99,57,6,0,87.71,2,bowled,2,v England,Cuttack,26-11-2008,ODI # 2783
419,5,15,16,0,0,31.25,2,lbw,2,v Sri Lanka,Dambulla,28-01-2009,ODI # 2806
420,6,11,9,0,0,66.66,2,lbw,1,v Sri Lanka,Colombo (RPS),31-01-2009,ODI # 2810
421,7,9,12,0,1,58.33,2,lbw,1,v Sri Lanka,Colombo (RPS),03-02-2009,ODI # 2813
422,20,43,23,2,0,86.95,2,caught,1,v New Zealand,Napier,03-03-2009,ODI # 2821
423,61,100,69,7,1,88.40,2,lbw,1,v New Zealand,Wellington,06-03-2009,ODI # 2822
424,163*,206,133,16,5,122.55,2,retired notout,1,v New Zealand,Christchurch,08-03-2009,ODI # 2823
425,46,81,55,6,0,83.63,2,caught,2,v New Zealand,Colombo (RPS),11-09-2009,ODI # 2886
426,27,63,33,5,0,81.81,2,caught,2,v Sri Lanka,Colombo (RPS),12-09-2009,ODI # 2887
427,138,214,133,10,1,103.75,2,lbw,1,v Sri Lanka,Colombo (RPS),14-09-2009,ODI # 2889
428,8,19,14,1,0,57.14,2,caught,2,v Pakistan,Centurion,26-09-2009,ODI # 2898
429,TDNB,-,-,-,-,-,-,-,-,v Australia,Centurion,28-09-2009,ODI # 2901
430,14,40,29,2,0,48.27,2,caught,2,v Australia,Vadodara,25-10-2009,ODI # 2913
431,4,14,8,1,0,50.00,2,caught,1,v Australia,Nagpur,28-10-2009,ODI # 2915
432,32,63,47,2,0,68.08,2,run out,2,v Australia,Delhi,31-10-2009,ODI # 2918
433,40,86,68,6,0,58.82,2,lbw,2,v Australia,Mohali,02-11-2009,ODI # 2919
434,175,210,141,19,4,124.11,2,caught,2,v Australia,Hyderabad,05-11-2009,ODI # 2923
435,10,23,17,2,0,58.82,2,caught,1,v Australia,Guwahati,08-11-2009,ODI # 2925
436,69,91,63,10,1,109.52,2,bowled,1,v Sri Lanka,Rajkot,15-12-2009,ODI # 2932
437,43,76,52,4,0,82.69,2,stumped,1,v Sri Lanka,Nagpur,18-12-2009,ODI # 2933
438,96*,187,104,13,0,92.30,2,not out,2,v Sri Lanka,Cuttack,21-12-2009,ODI # 2934
439,8,-,8,2,0,100.00,2,caught,2,v Sri Lanka,Eden Gardens,24-12-2009,ODI # 2935
440,4,-,5,1,0,80.00,2,run out,1,v South Africa,Jaipur,21-02-2010,ODI # 2961
441,200*,226,147,25,3,136.05,2,not out,1,v South Africa,Gwalior,24-02-2010,ODI # 2962
442,7,16,11,0,0,63.63,2,caught,2,v South Africa,Durban,12-01-2011,ODI # 3079
443,24,78,44,2,0,54.54,2,bowled,1,v South Africa,Johannesburg,15-01-2011,ODI # 3080
444,28,46,29,4,0,96.55,2,run out,1,v Bangladesh,Mirpur,19-02-2011,ODI # 3100
445,120,170,115,10,5,104.34,2,caught,1,v England,Bengaluru,27-02-2011,ODI # 3110
446,38,91,56,4,0,67.85,2,lbw,2,v Ireland,Bengaluru,06-03-2011,ODI # 3121
447,27,45,22,6,0,122.72,2,caught,2,v Netherlands,Delhi,09-03-2011,ODI # 3124
448,111,184,101,8,3,109.90,2,caught,1,v South Africa,Nagpur,12-03-2011,ODI # 3128
449,2,4,4,0,0,50.00,2,caught,1,v West Indies,Chennai,20-03-2011,ODI # 3141
450,53,93,68,7,0,77.94,2,caught,2,v Australia,Ahmedabad,24-03-2011,ODI # 3143
451,85,160,115,11,0,73.91,2,caught,1,v Pakistan,Mohali,30-03-2011,ODI # 3147
452,18,21,14,2,0,128.57,2,caught,2,v Sri Lanka,Wankhede,02-04-2011,ODI # 3148
453,2,9,6,0,0,33.33,2,caught,2,v Australia,Melbourne,05-02-2012,ODI # 3231
454,48,87,63,5,0,76.19,2,bowled,2,v Sri Lanka,Perth,08-02-2012,ODI # 3233
455,15,25,24,2,0,62.50,2,caught,2,v Sri Lanka,Adelaide,14-02-2012,ODI # 3239
456,3,21,12,0,0,25.00,2,caught,2,v Australia,Brisbane,19-02-2012,ODI # 3244
457,22,33,23,3,0,95.65,2,bowled,2,v Sri Lanka,Brisbane,21-02-2012,ODI # 3246
458,14,34,15,2,0,93.33,2,run out,2,v Australia,Sydney,26-02-2012,ODI # 3250
459,39,45,30,5,0,130.00,2,lbw,2,v Sri Lanka,Hobart,28-02-2012,ODI # 3251
460,6,25,19,1,0,31.57,2,caught,1,v Sri Lanka,Mirpur,13-03-2012,ODI # 3259
461,114,205,147,12,1,77.55,2,caught,1,v Bangladesh,Mirpur,16-03-2012,ODI # 3261
462,52,93,48,5,1,108.33,2,caught,2,v Pakistan,Mirpur,18-03-2012,ODI # 3263
